obsid,uid,ra,dec,snrg,gaia_source_id,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,M_G,d,R,Z,Teff,logg,[Fe/H],source
449105061,G15186066597815,203.41807,41.532809,36.42,1501122479049754880,0.150064909675153,3.4545467,16.430967,0.3593521,,,,,7127.4,2.685123,-1.75657,Vickers et al. (2021)
449112175,G15171327168127,206.3872591,43.3146294,77.7,1502320878004162688,0.1001286266450194,3.700566,15.394474,0.64049053,,,,,7165.6,2.493971,-1.531766,Candidates
449201208,G14435815050393,235.7114125,1.9169361,54.95,4423053739143177344,0.1564046022916037,7.105334,14.426382,0.31973362,0.3976296413314273,6.393673749673818,5.7969564906698565,-5.455078702389944,7763.4,3.231305,-1.299588,Vickers et al. (2021)
449209062,G14494409567750,236.496599,5.18841,20.2,4429330129471640576,0.0745756742161845,1.7306468,15.609703,0.22133446,,,,,8644.7,3.06337,-2.089481,Xue et al. (2011)&Vickers et al. (2021)
449212083,G14494277878586,236.572694,5.627464,26.65,4429359953724687360,0.1063670234018703,3.5479429,15.013164,0.2356968,,,,,10434.8,4.064438,-1.150012,Xue et al. (2011)&Vickers et al. (2021)
449215074,G14436550458242,234.546289,4.823157,20.1,4427933234308497024,0.1577194896078024,2.8026254,16.17924,0.04091835,,,,,9380.9,2.172055,-0.924986,Vickers et al. (2021)
449514174,G16014998201614,131.124876,2.995227,44.22,3079257084673188096,0.2365130086631719,11.150149,13.747724,0.22366142,0.6169991637467511,4.228097243581819,9.139405771576566,4.04083168488494,8967.8,3.393864,-1.416095,Vickers et al. (2021)
449603104,G14858930823510,185.348027,2.405084,50.65,3701023832074417024,0.0839470115996561,1.678795,15.999367,0.039419174,,,,,10041.9,3.670743,-1.891176,Vickers et al. (2021)
449603190,G14850503104891,185.738135,1.877683,92.34,3700190157446590848,0.0974020484131834,2.4902577,15.170138,0.24761295,,,,,7841.9,3.143384,-1.64304,Vickers et al. (2021)
449604147,G14850589537951,186.336281,1.548471,85.81,3699980223742495488,0.107853863896658,4.5033064,14.728678,0.46038437,,,,,7087.6,4.131608,-2.203552,Vickers et al. (2021)
449604245,G14851933454698,187.153484,2.096552,29.86,3700389654384451968,0.136491877332716,2.6223774,15.961714,0.30025482,,,,,7419.4,3.216187,-1.773456,Vickers et al. (2021)
449608219,G14850208499641,187.263536,0.724993,50.54,3696818715494924672,-0.011260300281812,-0.18114243,16.150726,0.046928406,,,,,9732.3,3.200128,-1.852545,Xue et al. (2011)&Vickers et al. (2021)
449701241,G11196154852681,212.4816602,-5.23128,70.48,3644083560845816448,0.1234747648817069,3.8036227,14.850188,0.20095444,,,,,7980.6,3.114677,-1.737366,Vickers et al. (2021)
449705241,G11196959087967,212.530119,-3.908136,70.59,3644513710410573440,0.0359708571684856,0.96963316,15.014828,0.4274044,,,,,7093.3,3.174625,-1.476489,Candidates
449707199,G11195294588197,214.5401829,-4.2099867,72.9,3642801182395542656,0.092964527655699,3.0228379,15.029882,0.52210045,,,,,7238.057445374188,3.0295904060227548,-1.6490253550639835,Candidates
